Area,Description,Type of test case,Steps,Expected Result,Actual Result,Test Result/ Comments,Author,Account Used for testing,Is Test Automated or Not,comments
Merge Icon,Validate the Sucess state When the user tries to merge the changes,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Validate the Sucess state When the user tries to merge the chnages","If there is no conflit when the user tries to merge. the chnages to the selected branch the success message should be displayed as ""This branch has no conflict with the base branch."" ",pass,,,,Automated,
Merge Icon,Validate the Error state When the user tries to merge the changes,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Validate the Error state When the user tries to merge the chnages","If there is a conflit when user tries to merge chnages to the Slected branch then display ""This branch has conflict with the base branch. "" Resolve on Github button",pass,,,,Automated,
Merge Icon,Verify the disply of readme file in the Git repo,UI,"1.Go to github
2.Verify the disply of readme file in the Git repo",The read me file should be displayed appsmith logo and all the appsmith links and details,pass,,,,No,
Merge Icon,verify the functionality of the readme file,UI,"1.Go to github
2.verify the functionality of the readme file",The user is able to edit the readme file,pass,,,,No,
Merge Icon,Multiple User Scenarios,,    ,    ,,,,,No,
Multiple User Scenarios,verify the functionality when multiple user working on same repo,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.verify the functionality when multiple user working on same repo","The following the scenario that needs to validated:
1.When the new user add a new branch that should be displayed to all user working on same application
2.When the user add a new chnages and push the chnages to Master branch the user should pull before pushing there chnages to Master",,,,,No,
The Switch Branches,Verify the display of branch names when the user click on Branch,Ui,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Verify the display of branch names","1.The switch barnch text with refresh Icon 
2.The Local Branch Section 
3.Remote branch Section
4.close icon",pass,,,,No,
The Switch Branches,Veirfy the display of local Branch ,Ui,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Veirfy the display of local Branch ",The Local Branch should be displayed with all the barnch that user creates locally,pass,,,,No,
The Switch Branches,Verify the display of Remote Branch section,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Verify the display of Remote Branch section",By Default the origin/Master Branch should be displayed,pass,,,,No,
The Switch Branches,Verify the functionality of remote branch,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Verify the functionality of remote branch",The user cant Edit the remote branch ,pass,,,,Automated,
The Switch Branches,Verify the interactivity between the local and Remote branch,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Verify the interactivity between the local and Remote branch",when user create a remote branch from the git hub the remote branch will be added in the aplication by clicking on the remote branch the user can checkout from the branch and with the same name without origin as prefix the local branch will be created and user can make the chnages in local branch,,,,,No,Actually it would get created
The Switch Branches,verify the disply of remote section when user add the new local branch ,UI,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.verify the disply of remote section when user add the new local branch ",The remote branch count should be same as number of local branches created ,,,,,No,
The Switch Branches,Verify the functionality of the newly created remote branch,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Verify the functionality of the newly created remote branch",The user should not able to edit any data in the remote branches,,,,,Automated,"I think we should rephrase this a bit, if a remote branch is checked out, actually we'd checkout a local tracking branch of the remote"
The Switch Branches,Validate the functionality of remote branches,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Validate the functionality of remote branches",When user edit the local branch and does the commit and push activity the remote branch will be updated with the new Changes,,,,,No,
The Switch Branches,Verify the functionality when the user delete the local branch from git,Functionality,"""1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the branch name on left bottom corner
6.Validate the functionality of remote branches",The remote branch that got Created for the local branch should be deleted along with the local,,,,,No,"currently we don't have an option to delete local branches , we can delete the remote branches that prunes the local branches when we click on the refresh button on the branch list"
The Switch Branches,Verify the display of Git connected apps on home page,UI,"1. Go to home page of the application
2. Verify the display of Git connected apps on home page",The fork icon should be displayed on all the application which are connected to git,,,,,No,
Git Import / Git Private repo Access upto 4,verify the display of git import menu,,"1.Go to home page 
2.Click on meat ball icon below the application
3.Verify the display of Git import menu",The git import menu should be dipslayed below import export menu,,,,,No,
Git Import / Git Private repo Access upto 5,Verify the functionality of git import,,"1.Go to home page 
2.Click on meat ball icon next to new button
3.Click on Git Import menu
4.verify the functionality",When the user click on git menu icon the File should be downloaded in the Json format,,,,,No,
Git Import / Git Private repo Access upto 6,Verify the functionality when the user export the Application which has been imported from the git,,"1.Go to home page 
2.Click on meat ball icon next to new button
3.Verify the functionality when the user export the Application which has been imported from the git","The application should be imported and the user should connected to old git repo 
Note: The dataSource detail and the comments wont be retained when the application is exported",,,,,No,
Git Import / Git Private repo Access upto 7,Verify the functionality when user export the old version application,,"1.Go to home page 
2.Click on meat ball icon next to new button
3.Verify the functionality when user export the old version application",The Export should fail ,,,,,No,
Git Repo Restriction,The functionality of Git repo restriction for private repo,,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
2.Click on Deploy Button",When the user tries to connect his application to 4th private report the modal should be displayed saying Contact admin ,,,,,No,
Git Repo Restriction,Verify the display of Repository limit pop up,,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
2.Click on Deploy Button","The Repository Limit Reached pop up should be displayed with following detailes:
1.Adding and using upto 3 repositories is free. To add more repositories kindly upgrade. text
2.Contact Sales button
3.Revoke existing Repositories text
4.To make space for newer repositories you can remove existing repositories.  text
5.Revoking access might cause the application to break. text followed by learn more link in red color
6.All 3 repository name with revoke acesss link in front of them",,,,,No,
Git Repo Restriction,Verify the functionality when user click on Contact sales,,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
3.Under Repository Limit pop up
4.Verify the functionality when user click on Contact sales",    ,,,,,No,
Git Repo Restriction,Verify the functionality when user click on revoke access,,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
3.Under Repository Limit pop up
4.Verify the functionality when user click on revoke access","The revoke access to promo code pop up should be displayed with folllowing detailes:
1.This action is non reversible. Proceed with caution Text followed by learn more link in red color
2.Revoke Access to Promo Code  header text
3.Type “Promo Code” in the input box to revoke access. text
4.Application Name input box
5.Revoke button",,,,,No,
Git Repo Restriction,Verify the display of Aplication name Input box,UI,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
3.Under Repository Limit pop up
4.Click on revoke link
5. In the Revoke access pop up 
6.Verify the display of Aplication name Input box",The user should be able to enter the application name which they want to disconnect from the git,,,,,No,
Git Repo Restriction,Verify the functionality when the user enter the wrong aplication name in Aplication anme input box,Functiionality,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
3.Under Repository Limit pop up
4.Click on revoke link
5. In the Revoke access pop up 
6.Verify the functionality when the user enter the wrong aplication name in Aplication anme input box",If the user enter the wrong application name then the revoke access button should not be enabled,,,,,No,
Git Repo Restriction,Verify the functionality when user click on revoke button,Functionality,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
3.Under Repository Limit pop up
4.Click on revoke link
5. In the Revoke access pop up 
6.Verify the functionality when user click on revoke button",When the user click on revoke button the Application Which is connected to git should be removed,,,,,No,
Git Repo Restriction,Validate the functionlity of revoking access,,"1.Go to canvas
2. the user should be exhausted with his Limit (3 privite repo connected)
3.Under Repository Limit pop up
4.Click on revoke link
5. In the Revoke access pop up 
6.Validate the functionlity of revoking access",The user can Disconnect his any old application and connect the new application to git repo by disconnecting the any one of the old application from private repo,,,,,No,
Git Repo Restriction,The functionality of Git repo restriction for public repo,,     ,The user can connect any no of application to the Public repo,,,,,No,
Disconnect flow,Disconnect flow,,    ,    ,,,,,No,
Disconnect flow,Verify the display of gear icon on left bottom corner ,UI,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on the gear icon on left bottom corner
6.Validate the display","The tooltip should be displayed as ""git settings""",,,,,No,
Disconnect flow,Verify the functionality of gear icon on left bottom corner ,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the functionality of gear icon on left bottom corner ","The Git connect pop up should be displayed with following detailes:
1.Git Connection tab with orange underline
2.Connect to Git Repository text
3.Checkout branches, Make commits, add deploy your application text
4.Remote URL via SSH input box with SSH key and delete icon
5.Deployed Key input box with autogenerated Key and copy icon next to it 
6.Copy this deploy key to your Git Repository setting.text followed by learn more link in orange color
7.User Settings text
8.Use Default Configuration check box with edit link 
9.Username name input box
10.Useremail Input box
11.Connect button in disabled state",,,,,No,
Disconnect flow,Verify the display of tooltip when user hover on delete icon next to remote URl input box,UI,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Verify the display of tooltip when user hover on delete icon next to remote URl input box",The tooltip should be displayed as revoke access,,,,,No,
Disconnect flow,verify the functionality when user click on delete icon,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.verify the functionality when user click on delete icon","When user clickon the delete iconThe revoke access to promo code pop up should be displayed with folllowing detailes:
1.This action is non reversible. Proceed with caution Text followed by learn more link in red color
2.Revoke Access to Promo Code  header text
3.Type “Promo Code” in the input box to revoke access. text
4.Application Name input box
5.Revoke button",,,,,No,
Disconnect flow,Verify the display of Aplication name Input box,UI,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on delete button next to remote url input box
6.Verify the display of Aplication name Input box",The user should be able to enter the application name which they want to disconnect from the git,,,,,No,
Disconnect flow,Verify the functionality when the user enter the wrong aplication name in Aplication anme input box,Functiionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on delete button next to remote url input box
6.Verify the functionality when the user enter the wrong aplication name in Aplication anme input box",If the user enter the wrong application name then the revoke access button should not be enabled,,,,,No,
Disconnect flow,Verify the functionality when user click on revoke button,Functionality,"1.Go to canvas
2.Click on Connect git button 
3.Inside the Git connection popup
4.Click on Connect
5.Click on delete button next to remote url input box
6.Inside the Revoke access pop up Verify the functionality when user click on revoke button",When the user click on revoke button the Application Which is connected to git should be removed,,,,,No,
